Name,Movies,Number of Movies
France,"['La cité de Dieu', 'Le pianiste', 'Léon', 'Intouchables', 'Cinéma Paradiso', 'La vie des autres', 'Amadeus', 'Capharnaüm', ""Le fabuleux destin d'Amélie Poulain"", 'Une séparation', 'Incendies', 'The Father', 'Ran', 'Casino', 'Le salaire de la peur', 'Les Nouveaux Sauvages', ""La passion de Jeanne d'Arc"", 'Before Sunset', 'La Haine', 'Les Quatre Cents Coups']",20
Canada,"['Interstellar', 'Joker', 'Incendies', 'Arrête-moi si tu peux', 'Room']",5
Poland,['Le pianiste'],1
South Korea,"['Parasite', 'Old Boy', 'Memories of Murder', 'Mademoiselle']",4
Malta,['Gladiator'],1
Morocco,['Gladiator'],1
Hong Kong,['Les infiltrés'],1
India,"['3 Idiots', '1917', 'Taare Zameen Par', 'Dangal', 'La complainte du sentier', 'Jai Bhim', 'Gandhi', 'La couleur des sentiments']",8
Lebanon,['Capharnaüm'],1
Cyprus,['Capharnaüm'],1
Qatar,['Capharnaüm'],1
Denmark,['La chasse'],1
Sweden,"['La chasse', 'Les fraises sauvages', 'Le septième sceau', 'Persona']",4
Soviet Union,"['Requiem pour un massacre - Va et regarde', 'Dersou Ouzala']",2
Iran,"['Une séparation', 'Les enfants du ciel']",2
Austria,"['La chute', 'Before Sunrise']",2
China,['Green Book: Sur les routes du Sud'],1
Mexico,"['Le labyrinthe de Pan', 'Amours chiennes']",2
Argentina,"['Dans ses yeux', 'Les Nouveaux Sauvages']",2
Ireland,"['Au nom du père', 'Room']",2
South Africa,"['Hôtel Rwanda', 'Gandhi']",2
Algeria,"[""La bataille d'Alger""]",1
Turkey,['Mon père et mon fils'],1
